id,kind,category,subcategory,name,zone,current_file,state,priority,placements,size_px,format,target_path,constraints,owner,status,notes
mob-wolf,Art,Mob,Animal — canine,Wolf,,wolf.svg,drawn,P0,109,76–92,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,"⭐ Most-placed mob in the game. Lean forest wolf hunting prey and players. Sets the baseline read for ""enemy""."
mob-direwolf,Art,Mob,Animal — canine,DireWolf,,direWolf.svg,drawn,P1,43,96–112,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash; darkness-overlay,,,Heavier dark-forest wolf. Same bite; the step-up is pure stats.
mob-elitewolf,Art,Mob,Animal — canine,EliteWolf,,eliteWolf.svg,drawn,P2,9,112–128,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash; tier-ring,,,"The ""something big"" the forest sign warns about. Gets a silver ring."
mob-alphawolf,Art,Mob,Animal — canine,AlphaWolf,,alphaWolf.svg,drawn,P2,16,116–136,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,Apex of the line. Fast chaser near the village.
mob-bear,Art,Mob,Animal — ursine,Bear,,bear.svg,drawn,P2,16,140–164,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,Slow heavy tank that rages below half HP — no visual tell for that yet.
mob-direbear,Art,Mob,Animal — ursine,DireBear,,direBear.svg,drawn,P2,8,156–180,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash; tier-ring,,,Largest non-boss wildlife in the game.
mob-boar,Art,Mob,Animal — prey,Boar,,wildboar.svg,drawn,P1,58,92–112,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,"Passive until hit, then gores. Must not look hostile — that's the point."
mob-stag,Art,Mob,Animal — prey,Stag,,stag.svg,drawn,P1,35,84–100,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,"Bolts on any damage, drops nothing. Carries the peaceful-world tone."
mob-spider,Art,Mob,Animal — spiders,Spider,,spider.svg,drawn,P2,17,76–92,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash; darkness-overlay,,,"Tunnel spider, lifesteal bite. Staged in daylight at the west mouth first."
mob-venomspider,Art,Mob,Animal — spiders,VenomSpider,,venomSpider.svg,drawn,P2,6,84–100,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash; darkness-overlay,,,"Deep-dark poison. Must differ from Spider in near-darkness, 8 px apart."
mob-giantspider,Art,Mob,Animal — spiders,GiantSpider,,giantSpider.svg,drawn,P2,5,116–136,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash; darkness-overlay,,,Fastest normal mob in the game (0.95). Should look fast.
mob-kobold,Art,Mob,Small Fantasy — kobolds,Kobold,,kobold.svg,drawn,P1,20,60–72,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash; darkness-overlay,,,"Weak swarm melee, flees at 25 %. Reads as a crowd — silhouette over detail."
